Session_ID,Add_to_Cart_Time,Checkout_Time
SESS_0113,2023-10-04 02:03:00,2023-10-04 02:11:21
SESS_0114,2023-10-07 20:09:00,2023-10-07 20:13:21
SESS_0115,2023-10-06 02:11:00,2023-10-06 02:50:54
SESS_0116,2023-10-03 23:13:00,2023-10-03 23:56:45
SESS_0117,2023-10-02 23:53:00,2023-10-03 00:20:12
SESS_0118,2023-10-01 23:58:00,2023-10-02 00:28:46
SESS_0119,2023-10-01 12:37:00,2023-10-01 13:05:11
SESS_0120,2023-10-03 14:06:00,2023-10-03 14:26:38
SESS_0121,2023-10-06 10:44:00,2023-10-06 10:46:24
SESS_0122,2023-10-05 22:50:00,2023-10-05 23:31:26
SESS_0123,2023-10-06 13:02:00,2023-10-06 13:27:02
SESS_0124,2023-10-02 08:30:00,2023-10-02 09:12:03
SESS_0125,2023-10-05 15:38:00,
SESS_0126,2023-10-05 03:06:00,2023-10-05 03:44:07
SESS_0127,2023-10-03 22:16:00,2023-10-03 22:46:35
SESS_0128,2023-10-03 21:57:00,2023-10-03 22:25:19
SESS_0129,2023-10-02 21:13:00,2023-10-02 21:46:56
SESS_0130,2023-10-07 04:11:00,2023-10-07 04:42:48
SESS_0131,2023-10-03 00:49:00,
SESS_0132,2023-10-02 08:42:00,2023-10-02 09:03:47
SESS_0133,2023-10-04 00:24:00,2023-10-04 00:30:09
SESS_0134,2023-10-07 03:01:00,2023-10-07 03:03:38
SESS_0135,2023-10-01 23:50:00,2023-10-02 00:21:14
SESS_0136,2023-10-04 17:30:00,2023-10-04 17:33:05
SESS_0137,2023-10-02 23:24:00,2023-10-03 00:07:07
SESS_0138,2023-10-07 00:39:00,
SESS_0139,2023-10-07 21:19:00,2023-10-07 21:29:52
SESS_0140,2023-10-07 14:18:00,2023-10-07 14:45:04
SESS_0141,2023-10-04 04:08:00,2023-10-04 04:20:51
SESS_0142,2023-10-03 01:52:00,2023-10-03 02:36:21
SESS_0143,2023-10-03 14:47:00,2023-10-03 14:51:07
SESS_0144,2023-10-07 07:02:00,2023-10-07 07:46:51
SESS_0145,2023-10-06 22:51:00,2023-10-06 23:19:08
SESS_0146,2023-10-03 11:42:00,2023-10-03 12:15:44
SESS_0147,2023-10-06 02:09:00,2023-10-06 02:30:58
SESS_0148,2023-10-02 05:30:00,2023-10-02 05:52:57
SESS_0149,2023-10-07 13:36:00,
SESS_0150,2023-10-06 13:18:00,2023-10-06 13:32:35
SESS_0151,2023-10-04 03:27:00,2023-10-04 04:00:05
SESS_0152,2023-10-05 15:47:00,
SESS_0153,2023-10-06 21:02:00,2023-10-06 21:31:47
SESS_0154,2023-10-04 13:30:00,2023-10-04 13:56:25
SESS_0155,2023-10-04 09:56:00,2023-10-04 10:35:18
SESS_0156,2023-10-05 18:48:00,2023-10-05 19:09:35
SESS_0157,2023-10-04 07:25:00,2023-10-04 08:05:10
SESS_0158,2023-10-02 00:15:00,2023-10-02 00:37:19
SESS_0159,2023-10-06 06:01:00,2023-10-06 06:32:22
SESS_0160,2023-10-06 17:40:00,2023-10-06 17:46:01
SESS_0161,2023-10-07 05:07:00,2023-10-07 05:27:36
SESS_0162,2023-10-07 16:11:00,2023-10-07 16:39:50
SESS_0163,2023-10-01 21:02:00,2023-10-01 21:22:17
SESS_0164,2023-10-03 17:53:00,
SESS_0165,2023-10-01 12:06:00,2023-10-01 12:41:29
SESS_0166,2023-10-05 18:41:00,2023-10-05 18:58:12
SESS_0167,2023-10-01 15:26:00,2023-10-01 15:37:28
SESS_0168,2023-10-06 20:51:00,
SESS_0169,2023-10-06 22:57:00,2023-10-06 23:22:29
SESS_0170,2023-10-05 22:41:00,
SESS_0171,2023-10-02 03:11:00,2023-10-02 03:33:53
SESS_0172,2023-10-05 11:56:00,2023-10-05 12:21:31
SESS_0173,2023-10-01 15:25:00,2023-10-01 15:41:35
SESS_0174,2023-10-06 19:45:00,2023-10-06 19:53:58
SESS_0175,2023-10-02 16:54:00,
SESS_0176,2023-10-06 12:23:00,
SESS_0177,2023-10-01 22:43:00,2023-10-01 22:56:32
SESS_0178,2023-10-02 14:34:00,2023-10-02 14:48:22
SESS_0179,2023-10-04 09:13:00,2023-10-04 09:41:04
SESS_0180,2023-10-05 07:43:00,2023-10-05 08:24:16
SESS_0181,2023-10-05 18:50:00,2023-10-05 19:31:35
SESS_0182,2023-10-05 11:58:00,2023-10-05 12:28:40
SESS_0183,2023-10-07 16:58:00,2023-10-07 17:24:30
SESS_0184,2023-10-06 13:28:00,2023-10-06 13:58:22
SESS_0185,2023-10-02 20:30:00,2023-10-02 21:01:41
SESS_0186,2023-10-05 05:19:00,2023-10-05 05:54:52
SESS_0187,2023-10-05 23:17:00,2023-10-05 23:58:58
SESS_0188,2023-10-02 07:23:00,2023-10-02 07:29:48
SESS_0189,2023-10-02 06:23:00,2023-10-02 07:08:03
SESS_0190,2023-10-02 14:15:00,2023-10-02 14:53:14
SESS_0191,2023-10-05 21:48:00,2023-10-05 22:10:55
SESS_0192,2023-10-01 15:17:00,2023-10-01 15:45:27
SESS_0193,2023-10-08 00:24:00,2023-10-08 00:58:53
SESS_0194,2023-10-01 16:54:00,2023-10-01 17:25:22
SESS_0195,2023-10-02 06:09:00,2023-10-02 06:24:40
SESS_0196,2023-10-05 06:23:00,
SESS_0197,2023-10-07 06:22:00,2023-10-07 06:36:57
SESS_0198,2023-10-05 02:57:00,2023-10-05 03:20:27
SESS_0199,2023-10-06 19:43:00,2023-10-06 20:09:52
SESS_0200,2023-10-05 07:19:00,2023-10-05 07:56:09
